# Charging an 18 cell battery
# Temperatures in this file seem accurate
#
20:35.30 E:  0,B:185,B:22.13V@2.05,D:31.22V@1.54,T:22.6
20:35.40 E:  0,B:185,B:22.14V@2.03,D:31.22V@1.53,T:22.6
20:35.51 E:  0,B:185,B:22.14V@2.01,D:31.22V@1.52,T:22.6
20:36.01 E:  0,B:185,B:22.15V@2.02,D:31.22V@1.51,T:22.6
20:36.11 E:  0,B:185,B:22.15V@1.98,D:31.22V@1.50,T:22.6
20:36.21 E:  0,B:185,B:22.15V@1.98,D:31.22V@1.50,T:22.6
20:36.31 E:  0,B:185,B:22.16V@1.98,D:31.22V@1.48,T:22.6
20:36.41 E:  0,B:185,B:22.16V@1.95,D:31.22V@1.46,T:22.6
20:36.51 E:  0,B:185,B:22.16V@1.94,D:31.22V@1.45,T:22.6
20:37.01 E:  0,B:185,B:22.16V@1.93,D:31.22V@1.45,T:22.7
20:37.11 E:  0,B:185,B:22.16V@1.93,D:31.22V@1.45,T:22.7
20:37.21 E:  0,B:185,B:22.16V@1.92,D:31.22V@1.45,T:22.7
20:37.31 E:  0,B:186,B:22.22V@2.20,D:31.22V@1.66,T:22.7
20:37.41 E:  0,B:186,B:22.23V@2.19,D:31.22V@1.63,T:22.8
20:37.51 E:  0,B:186,B:22.24V@2.18,D:31.22V@1.64,T:22.8
20:38.01 E:  0,B:186,B:22.25V@2.14,D:31.22V@1.61,T:22.8
20:38.11 E:  0,B:186,B:22.25V@2.13,D:31.22V@1.61,T:22.8
20:38.21 E:  0,B:186,B:22.25V@2.12,D:31.22V@1.58,T:22.8
20:38.31 E:  0,B:186,B:22.25V@2.12,D:31.22V@1.58,T:22.8
20:38.41 E:  0,B:186,B:22.25V@2.09,D:31.22V@1.56,T:22.8
20:38.51 E:  0,B:186,B:22.25V@2.07,D:31.22V@1.57,T:22.8
20:39.01 E:  0,B:186,B:22.25V@2.07,D:31.22V@1.56,T:22.9
20:39.11 E:  0,B:186,B:22.25V@2.06,D:31.22V@1.55,T:22.9
20:39.21 E:  0,B:186,B:22.25V@2.05,D:31.22V@1.54,T:22.9
20:39.31 E:  0,B:186,B:22.26V@2.03,D:31.22V@1.52,T:22.9
20:39.41 E:  0,B:186,B:22.26V@2.02,D:31.22V@1.51,T:22.9
20:39.51 E:  0,B:186,B:22.27V@2.01,D:31.22V@1.51,T:22.9
20:40.01 E:  0,B:186,B:22.27V@2.00,D:31.22V@1.52,T:22.9
20:40.11 E:  0,B:186,B:22.28V@1.98,D:31.22V@1.50,T:22.9
20:40.22 E:  0,B:186,B:22.28V@1.98,D:31.22V@1.48,T:23.0
20:40.32 E:  0,B:186,B:22.28V@1.98,D:31.22V@1.48,T:23.0
20:40.42 E:  0,B:186,B:22.28V@1.97,D:31.22V@1.49,T:23.0
20:40.52 E:  0,B:186,B:22.28V@1.94,D:31.22V@1.47,T:23.0
20:41.02 E:  0,B:186,B:22.28V@1.94,D:31.22V@1.47,T:23.0
20:41.12 E:  0,B:186,B:22.28V@1.93,D:31.22V@1.47,T:23.0
20:41.22 E:  0,B:186,B:22.28V@1.94,D:31.22V@1.48,T:23.0
20:41.32 E:  0,B:186,B:22.28V@1.91,D:31.22V@1.47,T:23.0
20:41.42 E:  0,B:187,B:22.35V@2.21,D:31.22V@1.68,T:23.1
20:41.52 E:  0,B:187,B:22.36V@2.20,D:31.22V@1.66,T:23.1
20:42.02 E:  0,B:187,B:22.37V@2.17,D:31.22V@1.65,T:23.1
20:42.12 E:  0,B:187,B:22.37V@2.16,D:31.22V@1.65,T:23.1
20:42.22 E:  0,B:187,B:22.37V@2.15,D:31.22V@1.62,T:23.1
20:42.32 E:  0,B:187,B:22.37V@2.15,D:31.22V@1.63,T:23.1
20:42.42 E:  0,B:187,B:22.37V@2.12,D:31.22V@1.61,T:23.2
20:42.52 E:  0,B:187,B:22.37V@2.11,D:31.22V@1.59,T:23.2
20:43.02 E:  0,B:187,B:22.37V@2.10,D:31.22V@1.59,T:23.2
20:43.12 E:  0,B:187,B:22.37V@2.10,D:31.22V@1.59,T:23.2
20:43.22 E:  0,B:187,B:22.37V@2.07,D:31.22V@1.57,T:23.2
20:43.32 E:  0,B:187,B:22.38V@2.06,D:31.22V@1.57,T:23.2
20:43.42 E:  0,B:187,B:22.37V@2.05,D:31.22V@1.56,T:23.2
20:43.52 E:  0,B:187,B:22.39V@2.06,D:31.22V@1.56,T:23.3
20:44.03 E:  0,B:187,B:22.39V@2.05,D:31.22V@1.55,T:23.3
20:44.13 E:  0,B:187,B:22.38V@2.02,D:31.22V@1.54,T:23.3
20:44.23 E:  0,B:187,B:22.38V@2.02,D:31.22V@1.55,T:23.3
20:44.33 E:  0,B:187,B:22.39V@2.02,D:31.22V@1.52,T:23.3
20:44.43 E:  0,B:187,B:22.40V@2.01,D:31.22V@1.53,T:23.3
20:44.53 E:  0,B:187,B:22.40V@2.00,D:31.22V@1.50,T:23.3
20:45.03 E:  0,B:187,B:22.40V@1.98,D:31.22V@1.50,T:23.3
20:45.13 E:  0,B:187,B:22.40V@1.98,D:31.22V@1.51,T:23.3
20:45.23 E:  0,B:187,B:22.40V@1.98,D:31.22V@1.49,T:23.3
20:45.33 E:  0,B:187,B:22.40V@1.98,D:31.22V@1.50,T:23.4
20:45.43 E:  0,B:187,B:22.40V@1.96,D:31.22V@1.48,T:23.4
20:45.53 E:  0,B:187,B:22.40V@1.96,D:31.22V@1.50,T:23.4
20:46.03 E:  0,B:187,B:22.40V@1.94,D:31.22V@1.50,T:23.4
20:46.13 E:  0,B:187,B:22.40V@1.96,D:31.22V@1.48,T:23.4
20:46.23 E:  0,B:187,B:22.40V@1.93,D:31.22V@1.48,T:23.4
20:46.33 E:  0,B:187,B:22.40V@1.93,D:31.22V@1.46,T:23.4
20:46.43 E:  0,B:187,B:22.40V@1.94,D:31.22V@1.47,T:23.4
20:46.53 E:  0,B:188,B:22.46V@2.24,D:31.22V@1.67,T:23.5
20:47.03 E:  0,B:188,B:22.47V@2.21,D:31.22V@1.67,T:23.5
20:47.13 E:  0,B:188,B:22.48V@2.19,D:31.22V@1.66,T:23.5
20:47.23 E:  0,B:188,B:22.47V@2.18,D:31.22V@1.64,T:23.5
20:47.33 E:  0,B:188,B:22.49V@2.16,D:31.22V@1.64,T:23.6
20:47.43 E:  0,B:188,B:22.49V@2.16,D:31.22V@1.63,T:23.6
20:47.53 E:  0,B:188,B:22.49V@2.14,D:31.22V@1.62,T:23.6
20:48.03 E:  0,B:188,B:22.49V@2.13,D:31.22V@1.63,T:23.6
20:48.13 E:  0,B:188,B:22.49V@2.12,D:31.22V@1.60,T:23.6
20:48.23 E:  0,B:188,B:22.49V@2.11,D:31.22V@1.59,T:23.6
20:48.33 E:  0,B:188,B:22.49V@2.10,D:31.22V@1.61,T:23.6
20:48.43 E:  0,B:188,B:22.49V@2.10,D:31.22V@1.60,T:23.6
20:48.53 E:  0,B:188,B:22.49V@2.08,D:31.22V@1.58,T:23.6
20:49.04 E:  0,B:188,B:22.49V@2.09,D:31.22V@1.60,T:23.7
20:49.14 E:  0,B:188,B:22.50V@2.08,D:31.22V@1.59,T:23.7
20:49.24 E:  0,B:188,B:22.49V@2.09,D:31.22V@1.56,T:23.7
20:49.34 E:  0,B:188,B:22.50V@2.05,D:31.22V@1.56,T:23.7
20:49.44 E:  0,B:188,B:22.50V@2.05,D:31.22V@1.56,T:23.7
20:49.54 E:  0,B:188,B:22.50V@2.04,D:31.22V@1.57,T:23.7
20:50.04 E:  0,B:188,B:22.50V@2.04,D:31.22V@1.55,T:23.7
20:50.14 E:  0,B:188,B:22.51V@2.03,D:31.22V@1.54,T:23.7
20:50.24 E:  0,B:188,B:22.51V@2.03,D:31.22V@1.54,T:23.8
20:50.34 E:  0,B:188,B:22.51V@2.03,D:31.22V@1.54,T:23.8
20:50.44 E:  0,B:188,B:22.52V@2.01,D:31.22V@1.53,T:23.8
20:50.54 E:  0,B:188,B:22.52V@2.01,D:31.22V@1.53,T:23.8
20:51.04 E:  0,B:188,B:22.52V@2.00,D:31.22V@1.52,T:23.8
20:51.14 E:  0,B:188,B:22.52V@1.98,D:31.22V@1.52,T:23.8
20:51.24 E:  0,B:188,B:22.52V@1.99,D:31.22V@1.50,T:23.8
20:51.34 E:  0,B:188,B:22.52V@1.99,D:31.22V@1.50,T:23.8
20:51.44 E:  0,B:188,B:22.52V@1.97,D:31.22V@1.50,T:23.8
20:51.54 E:  0,B:188,B:22.52V@1.97,D:31.22V@1.50,T:23.8
20:52.04 E:  0,B:188,B:22.52V@1.97,D:31.22V@1.52,T:23.9
20:52.14 E:  0,B:188,B:22.52V@1.97,D:31.22V@1.49,T:23.9
20:52.24 E:  0,B:188,B:22.52V@1.95,D:31.22V@1.49,T:23.9
20:52.34 E:  0,B:188,B:22.52V@1.95,D:31.22V@1.48,T:23.9
20:52.44 E:  0,B:188,B:22.52V@1.95,D:31.22V@1.47,T:23.9
20:52.54 E:  0,B:188,B:22.52V@1.94,D:31.22V@1.48,T:23.9
20:53.04 E:  0,B:188,B:22.52V@1.94,D:31.22V@1.47,T:23.9
20:53.14 E:  0,B:188,B:22.52V@1.93,D:31.22V@1.47,T:23.9
20:53.24 E:  0,B:188,B:22.52V@1.92,D:31.22V@1.47,T:23.9
20:53.34 E:  0,B:188,B:22.52V@1.91,D:31.22V@1.46,T:24.0
20:53.44 E:  0,B:189,B:22.60V@2.21,D:31.22V@1.69,T:24.0
20:53.55 E:  0,B:189,B:22.61V@2.21,D:31.22V@1.69,T:24.0
20:54.05 E:  0,B:189,B:22.61V@2.20,D:31.22V@1.68,T:24.0
20:54.15 E:  0,B:189,B:22.61V@2.18,D:31.22V@1.67,T:24.0
20:54.25 E:  0,B:189,B:22.61V@2.17,D:31.22V@1.66,T:24.1
20:54.35 E:  0,B:189,B:22.62V@2.16,D:31.22V@1.66,T:24.1
20:54.45 E:  0,B:189,B:22.62V@2.15,D:31.22V@1.64,T:24.1
20:54.55 E:  0,B:189,B:22.62V@2.14,D:31.22V@1.62,T:24.1
20:55.05 E:  0,B:189,B:22.62V@2.13,D:31.22V@1.64,T:24.1
